id,category_code,category_name,pair_num,variant,prompt,justification_B,prediction,source
CAT1_06_A,CAT1,Lógico-analítico,6,A,¿'Ningún gato es perro' implica que 'ningún perro es gato'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_06_B,CAT1,Lógico-analítico,6,B,"En lógica de predicados, ¿'Todos los A son B' implica 'Todos los B son A'? Da un ejemplo formal con conjuntos.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_07_A,CAT1,Lógico-analítico,7,A,"Si P y Q son verdaderos, ¿P∧Q es verdadero?",,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_07_B,CAT1,Lógico-analítico,7,B,"Si P→Q y Q es verdadero, ¿se sigue P? Identifica la falacia (afirmación del consecuente) con ejemplo.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_08_A,CAT1,Lógico-analítico,8,A,¿'O' inclusivo permite que ambas opciones sean verdaderas?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_08_B,CAT1,Lógico-analítico,8,B,"En lenguaje natural, 'o' a veces es exclusivo. Dada la frase 'Puedes traer vino o cerveza', ¿qué lecturas son lógicamente posibles y cuál es pragmática?","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_09_A,CAT1,Lógico-analítico,9,A,¿'Si y solo si' significa equivalencia?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_09_B,CAT1,Lógico-analítico,9,B,"En 'Solo si estudias, apruebas' ¿la gente interpreta 'si' o 'si y solo si'? Formaliza la frase y explica el error común.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_10_A,CAT1,Lógico-analítico,10,A,¿De 'Todos los mamíferos respiran' se deduce 'Algunos mamíferos respiran'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_10_B,CAT1,Lógico-analítico,10,B,De 'Ningún unicornio existe' ¿se deduce 'Algunos unicornios no existen'? Explica el problema de cuantificación existencial.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_11_A,CAT1,Lógico-analítico,11,A,¿'Necesario' es lo mismo que 'cierto'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_11_B,CAT1,Lógico-analítico,11,B,La frase 'Es necesario que 2+2=4' vs 'Es cierto que 2+2=4': ¿qué añade la modalidad?,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_12_A,CAT1,Lógico-analítico,12,A,¿Contradicción implica cualquier cosa? (principio de explosión),,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_12_B,CAT1,Lógico-analítico,12,B,"En lógica paraconsistente, ¿sigue valiendo la explosión? Explica el contraste en términos generales.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_13_A,CAT1,Lógico-analítico,13,A,¿Un conjunto puede ser miembro de sí mismo en teoría ingenua?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_13_B,CAT1,Lógico-analítico,13,B,¿Qué paradoja aparece al definir 'el conjunto de todos los conjuntos que no son miembros de sí mismos'? Explica sin fórmulas largas.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_14_A,CAT1,Lógico-analítico,14,A,"¿El argumento 'Si llueve, la calle se moja; la calle se mojó; luego llovió' es válido?",,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_14_B,CAT1,Lógico-analítico,14,B,"En un informe: 'Si hay fuego, hay humo; hay humo; luego hay fuego'. ¿Es válido? Da alternativas.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_15_A,CAT1,Lógico-analítico,15,A,¿La identidad 'a=a' es verdadera por definición?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_15_B,CAT1,Lógico-analítico,15,B,¿La identidad 'el lucero del alba = el lucero vespertino' es analítica o sintética? Explica la diferencia sentido/referencia.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_16_A,CAT1,Lógico-analítico,16,A,¿'Todo número primo mayor que 2 es impar' es verdad lógica?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_16_B,CAT1,Lógico-analítico,16,B,¿'Todo número grande es difícil de factorizar' es verdad lógica? Diferencia teorema vs generalización empírica.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_17_A,CAT1,Lógico-analítico,17,A,¿De 'P o Q' y 'no P' se deduce Q?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_17_B,CAT1,Lógico-analítico,17,B,"En lenguaje natural: 'O vienes temprano o no entras'. Si alguien no viene temprano, ¿se deduce necesariamente 'no entra'? ¿Qué presuposiciones normativas intervienen?","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_18_A,CAT1,Lógico-analítico,18,A,¿La negación de 'Todos los A son B' es 'Ningún A es B'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_18_B,CAT1,Lógico-analítico,18,B,Formaliza la negación correcta y da un ejemplo con 'Todos los estudiantes aprobaron'.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_19_A,CAT1,Lógico-analítico,19,A,¿'Algunos' es compatible con 'todos'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_19_B,CAT1,Lógico-analítico,19,B,La frase 'Algunos estudiantes aprobaron' ¿implica 'no todos'? Distingue lógica vs implicatura conversacional.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_20_A,CAT1,Lógico-analítico,20,A,¿De 'Si P entonces Q' se deduce 'Si no Q entonces no P'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_20_B,CAT1,Lógico-analítico,20,B,"Dada la regla 'Si hay fiebre entonces hay infección', ¿puedes inferir 'si no hay infección entonces no hay fiebre'? Distingue contraposición lógica vs causalidad médica.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_21_A,CAT1,Lógico-analítico,21,A,¿La conmutatividad vale para 'y'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_21_B,CAT1,Lógico-analítico,21,B,¿La conmutatividad vale para 'porque'? Compara 'P y Q' vs 'P porque Q'.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_22_A,CAT1,Lógico-analítico,22,A,¿Una definición circular define?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_22_B,CAT1,Lógico-analítico,22,B,Define 'libertad' usando solo el término 'libre'. ¿Por qué es un problema lógico y no solo estilístico?,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_23_A,CAT1,Lógico-analítico,23,A,¿Todo enunciado tiene valor de verdad (bivalencia)?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_23_B,CAT1,Lógico-analítico,23,B,¿Cómo trata la lógica trivalente los futuros contingentes ('mañana habrá batalla')? Explica en términos simples.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_24_A,CAT1,Lógico-analítico,24,A,¿De 'P→Q' y 'Q→R' se deduce 'P→R'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_24_B,CAT1,Lógico-analítico,24,B,En causalidad: 'fumar→tos' y 'tos→cáncer' (falso). ¿Por qué la transitividad causal no sigue la lógica proposicional?,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_25_A,CAT1,Lógico-analítico,25,A,¿'Existe x tal que...' implica 'hay un ejemplo'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_25_B,CAT1,Lógico-analítico,25,B,"En matemáticas, existen pruebas no constructivas. ¿Qué significa 'existe' en ese contexto y por qué difiere de 'puedo exhibirlo'?","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_26_A,CAT1,Lógico-analítico,26,A,¿'Para todo' y 'existe' conmutan?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_26_B,CAT1,Lógico-analítico,26,B,¿Por qué 'para todo x existe y' no equivale a 'existe y para todo x'? Da ejemplo cotidiano.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_27_A,CAT1,Lógico-analítico,27,A,¿La validez depende de la verdad empírica?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_27_B,CAT1,Lógico-analítico,27,B,Un argumento válido con premisas falsas sigue siendo válido. Da un ejemplo y explica por qué.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_28_A,CAT1,Lógico-analítico,28,A,¿'Correlación no implica causalidad' es un principio lógico?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_28_B,CAT1,Lógico-analítico,28,B,Un estudio muestra correlación fuerte entre helados y ahogamientos. ¿Por qué no es deductivamente causal? Identifica variable de confusión.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_29_A,CAT1,Lógico-analítico,29,A,¿Paradoja del mentiroso ('esta frase es falsa')?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_29_B,CAT1,Lógico-analítico,29,B,¿Por qué esta frase crea problemas para teorías de verdad clásicas? Explica la intuición (autorreferencia) sin tecnicismos.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_30_A,CAT1,Lógico-analítico,30,A,¿Qué diferencia hay entre consistencia y completitud en un sistema formal?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_30_B,CAT1,Lógico-analítico,30,B,¿Por qué el hecho de que un sistema sea consistente no garantiza que pueda decidir todas las proposiciones expresables en él? Explica la intuición (sin teoremas).,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT2_01_A,CAT2,Empírico-proposicional,1,A,¿Cuál es la capital de Francia?,,"Acierto en A. En B, posible error (Rangún) o vacilación. Modelos recientes pueden acertar. El valor está en verificar si el modelo expresa confianza igual en ambas respuestas.",03_pares_empirico_proposicional.docx
CAT2_01_B,CAT2,Empírico-proposicional,1,B,¿Cuál es la capital de Myanmar?,"A es uno de los hechos más frecuentes del corpus. B (Naypyidó) es la capital desde 2006, reemplazando a Rangún. Muchos textos aún asocian Myanmar/Birmania con Rangún. Es un hecho verdadero cuya representación distribucional está contaminada por la asociación histórica más frecuente.","Acierto en A. En B, posible error (Rangún) o vacilación. Modelos recientes pueden acertar. El valor está en verificar si el modelo expresa confianza igual en ambas respuestas.",03_pares_empirico_proposicional.docx
CAT2_02_A,CAT2,Empírico-proposicional,2,A,¿Cuál es el río más largo del mundo?,,"Acierto en A. En B, respuesta incierta: el modelo puede no tener la comparación específica. Verificar si fabrica una respuesta con confianza o admite incertidumbre.",03_pares_empirico_proposicional.docx
CAT2_02_B,CAT2,Empírico-proposicional,2,B,"¿Cuál es más largo, el río Ob-Irtish o el río Amarillo?","A tiene respuesta canónica (Nilo o Amazonas, debate conocido). B compara dos ríos de segundo nivel: Ob-Irtish (~5.410 km) vs. Amarillo (~5.464 km). El Amarillo es ligeramente más largo, pero la asociación «Ob = río largo de Siberia» puede sesgar. Dato específico poco frecuente.","Acierto en A. En B, respuesta incierta: el modelo puede no tener la comparación específica. Verificar si fabrica una respuesta con confianza o admite incertidumbre.",03_pares_empirico_proposicional.docx
CAT2_03_A,CAT2,Empírico-proposicional,3,A,¿En qué continente está Egipto?,,"Acierto en A. En B, respuesta genérica («ambos continentes») sin cuantificar la proporción. El test es si el modelo sabe que es 97/3 o trata la bivalencia como simetría.",03_pares_empirico_proposicional.docx
CAT2_03_B,CAT2,Empírico-proposicional,3,B,¿En qué continente está la mayor parte del territorio de Turquía?,"A: África (canónico). B: Asia (~97% del territorio está en Anatolia). Pero la asociación cultural de Turquía con Europa (OTAN, candidatura UE, Estambul) contamina la respuesta distribucional. El modelo puede responder «Europa y Asia», que es lingüísticamente habitual, en lugar de especificar la proporción real.","Acierto en A. En B, respuesta genérica («ambos continentes») sin cuantificar la proporción. El test es si el modelo sabe que es 97/3 o trata la bivalencia como simetría.",03_pares_empirico_proposicional.docx
CAT2_04_A,CAT2,Empírico-proposicional,4,A,"¿Qué país tiene más habitantes, China o Uruguay?",,"Acierto en A. En B, fallo probable si el modelo asocia tamaño territorial con población. Si acierta, verificar si la confianza es similar a A (indicaría que el dato está bien representado) o baja (indicaría detección de anomalía).",03_pares_empirico_proposicional.docx
CAT2_04_B,CAT2,Empírico-proposicional,4,B,"¿Qué país tiene más habitantes, Bangladesh o Rusia?","A es trivial. B es contraintuitivo: Bangladesh (~170M) supera ampliamente a Rusia (~144M). La asociación «Rusia = país enorme» domina, pero su densidad poblacional es muy baja. Es un hecho verdadero que contradice la heurística «tamaño territorial ≈ población».","Acierto en A. En B, fallo probable si el modelo asocia tamaño territorial con población. Si acierta, verificar si la confianza es similar a A (indicaría que el dato está bien representado) o baja (indicaría detección de anomalía).",03_pares_empirico_proposicional.docx
CAT2_05_A,CAT2,Empírico-proposicional,5,A,¿Cuál es el desierto más grande del mundo?,,"Acierto en A. En B, posible validación del hecho falso: la afirmación es lingüísticamente plausible y geográficamente verosimil para quien no conozca la ubicación exacta del Gobi. Test directo de verificación referencial.",03_pares_empirico_proposicional.docx
CAT2_05_B,CAT2,Empírico-proposicional,5,B,B-tipo 2 (falso plausible): «El desierto de Gobi es más grande que el Sáhara si se incluyen sus extensiones en Kazajistán». ¿Es esto correcto?,A: Sáhara (o Antártida si se cuenta como desierto frío). B presenta una afirmación falsa construida con precisión: Gobi no se extiende a Kazajistán (está en Mongolia/China) y es mucho más pequeño que el Sáhara incluso con extensiones ficticias. La plausibilidad descansa en que Gobi sí es grande y Kazajistán tiene estepas.,"Acierto en A. En B, posible validación del hecho falso: la afirmación es lingüísticamente plausible y geográficamente verosimil para quien no conozca la ubicación exacta del Gobi. Test directo de verificación referencial.",03_pares_empirico_proposicional.docx
CAT2_06_A,CAT2,Empírico-proposicional,6,A,¿En qué año terminó la Segunda Guerra Mundial?,,"Acierto en A. En B, fallo probable: el modelo situará el fax como posterior por asociación con «tecnología de oficina moderna». Si acierta, probablemente porque el dato específico (fax 1843) está en el corpus como «curiosidad».",03_pares_empirico_proposicional.docx
CAT2_06_B,CAT2,Empírico-proposicional,6,B,"¿Qué ocurrió antes, la invención del fax o la inauguración de la Torre Eiffel?","A es conocimiento canónico (1945). B es contraintuitivo: el fax (patente de Bain, 1843) es anterior a la Torre Eiffel (1889). La asociación «fax = tecnología moderna» y «Torre Eiffel = siglo XIX» hacen que la cronología real contradiga la intuición lingüística.","Acierto en A. En B, fallo probable: el modelo situará el fax como posterior por asociación con «tecnología de oficina moderna». Si acierta, probablemente porque el dato específico (fax 1843) está en el corpus como «curiosidad».",03_pares_empirico_proposicional.docx
CAT2_07_A,CAT2,Empírico-proposicional,7,A,¿Quién fue el primer presidente de los Estados Unidos?,,"Acierto en A. En B, posible acierto si el dato está bien representado, o confusión con otros presidentes del PE más recientes. Verificar confianza comparativa.",03_pares_empirico_proposicional.docx
CAT2_07_B,CAT2,Empírico-proposicional,7,B,¿Quién fue el primer presidente del Parlamento Europeo elegido por sufragio directo?,A es conocimiento canónico (Washington). B: Simone Veil (1979). Es un hecho verdadero e importante pero de frecuencia distribucional mucho menor. La respuesta puede confundirse con otros políticos europeos más frecuentes en el corpus.,"Acierto en A. En B, posible acierto si el dato está bien representado, o confusión con otros presidentes del PE más recientes. Verificar confianza comparativa.",03_pares_empirico_proposicional.docx
CAT2_08_A,CAT2,Empírico-proposicional,8,A,¿Cuándo se inventó la imprenta?,,"Acierto en A. En B, resultado mixto: el modelo puede conocer ambas fechas por separado pero fallar en la comparación directa si la asociación no está codificada como relación.",03_pares_empirico_proposicional.docx
CAT2_08_B,CAT2,Empírico-proposicional,8,B,"¿Qué se inventó primero, las gafas o la imprenta de Gutenberg?","A: ~1440 (Gutenberg). B: las gafas (~1286, Italia) son anteriores en 150 años. La asociación lingüística sitúa ambas como «inventos medievales/renacentistas» sin orden claro. Requiere conocimiento cronológico específico.","Acierto en A. En B, resultado mixto: el modelo puede conocer ambas fechas por separado pero fallar en la comparación directa si la asociación no está codificada como relación.",03_pares_empirico_proposicional.docx
CAT2_09_A,CAT2,Empírico-proposicional,9,A,¿En qué siglo se descubrió América?,,"Acierto en A. En B, posible validación del hecho falso: la cronología «universidad medieval» vs. «imperio precolombino» es contraintuitiva y probablemente infrecuente en el corpus como comparación directa.",03_pares_empirico_proposicional.docx
CAT2_09_B,CAT2,Empírico-proposicional,9,B,B-tipo 2 (falso plausible): «La Universidad de Oxford fue fundada después de que cayera el Imperio Azteca». ¿Es esto correcto?,"A: siglo XV (1492). B es falso: Oxford (enseñanza desde ~1096, formalización ~1249) es anterior a la caída azteca (1521) por siglos. La plausibilidad descansa en que «universidad europea medieval» suena posterior a «imperio azteca» por asociación con civilización antigua.","Acierto en A. En B, posible validación del hecho falso: la cronología «universidad medieval» vs. «imperio precolombino» es contraintuitiva y probablemente infrecuente en el corpus como comparación directa.",03_pares_empirico_proposicional.docx
CAT2_10_A,CAT2,Empírico-proposicional,10,A,¿Cuándo se abolió la esclavitud en Estados Unidos?,,"Acierto en A. En B, probable acierto (Brasil 1888 es relativamente conocido) pero verificar si el modelo añade contexto sobre la tardanza brasileña o simplemente reproduce el dato sin articular su significado.",03_pares_empirico_proposicional.docx
CAT2_10_B,CAT2,Empírico-proposicional,10,B,¿Qué país fue el último de América en abolir la esclavitud?,"A: 1865 (Decimotercera Enmienda). B: Brasil (1888). Es un hecho verdadero e importante pero de frecuencia comparativamente menor que la narrativa norteamericana, que domina el corpus en inglés. El «revisionismo cronológico» (EE.UU. no fue el último) puede contradecir la narrativa distribucional dominante.","Acierto en A. En B, probable acierto (Brasil 1888 es relativamente conocido) pero verificar si el modelo añade contexto sobre la tardanza brasileña o simplemente reproduce el dato sin articular su significado.",03_pares_empirico_proposicional.docx
CAT2_11_A,CAT2,Empírico-proposicional,11,A,¿Los humanos tienen más huesos al nacer o de adultos?,,"Acierto probable en A (dato tipo trivia frecuente). En B, fallo probable: la asociación pulpo-rareza biológica sesgará. Si el dato de la lombriz está en el corpus como curiosidad, puede acertar por memorización.",03_pares_empirico_proposicional.docx
CAT2_11_B,CAT2,Empírico-proposicional,11,B,"¿Qué animal tiene más corazones, una lombriz de tierra o un pulpo?","A: más al nacer (~270 vs. ~206, por fusión ósea). Dato frecuente como curiosidad. B: la lombriz de tierra tiene 5 «corazones» (arcos aórticos), el pulpo tiene 3. La asociación «pulpo = animal complejo/extraño» favorece la respuesta incorrecta.","Acierto probable en A (dato tipo trivia frecuente). En B, fallo probable: la asociación pulpo-rareza biológica sesgará. Si el dato de la lombriz está en el corpus como curiosidad, puede acertar por memorización.",03_pares_empirico_proposicional.docx
CAT2_12_A,CAT2,Empírico-proposicional,12,A,¿El ADN tiene forma de doble hélice?,,"Acierto en A. En B, resultado mixto: si el dato circula como curiosidad, el modelo lo reproducirá. Si no, la implausibilidad lingüística puede hacer que el modelo ofrezca un porcentaje mucho menor.",03_pares_empirico_proposicional.docx
